#songId, title, artist_name, artist_id, song_type, key, energy, liveness, tempo, speechiness, acousticness, instrumentalness, mode, time_signature, duration, loudness, valence, danceability
SOUJXJV12AF72A5DE7,Instrumental 2,Sayyadina,ARO309K1187B9A6431,"instrumental, studio, electric",2,0.452477,0.18317,16.033,0.06793,0.382312,0.97287,1,1,14.39302,-4.932,0.848601,0
SOQVOEA1367CEC87E5,No. 12 Let Me Roam,Victoria Spivey,ARD4FIN1187B9B8493,"acoustic, studio, vocal",0,0.125708,0.120761,0,0.055328,0.995088,0.120145,1,0,46.10721,-16.823,0,0
SOCGLLX12D8532287A,Min Yechetiry El ward Mini,Layla Mourad,ARAERVS11E2835CF1E,"studio, electric",3,1.20E-05,0.063109,82.948,0.142475,0,,1,5,189.72689,-50.593,0.886825,0
SOXMWER1372F6F2DF2,Intro,Canteca de Macao,ARMLETE1187B99070D,"instrumental, studio, electric",11,0.839768,0.340666,0,0.375052,0.154846,0.984951,0,0,13.28136,-12.875,0,0
SOLREHN13D0C2FCE07,Intro,Hound,ARSKU0A1187FB517E8,"acoustic, vocal",10,0.718113,0.783691,0,0.790501,0.965982,0,0,0,13.64354,-10.573,0,0
SOWALOX12AF72A4938,Outro - The Sadistic Death of Ruud ter Weijden,Rompeprop,ARQDFGN1187B998297,"studio, electric",4,0.194194,0.126079,0,0.511822,0,,1,0,5.90322,-18.16,0,0
SOHFNXF1393A2BCC68,SGI,Outburst,ARAIXU41187B9AED7F,"instrumental, studio",0,0.16334,0.084762,0,0.363277,0.794118,0.934936,1,0,11.79955,-19.569,0,0
SOKKHZM12DE7002B32,Staub,KiEw,ARGK9JD1187B9A295D,"acoustic, studio",1,0.497599,0.143587,0,0.115133,0.995796,,1,0,4.0224,-20.771,0,0
SONQVYG12A58A7D513,Générique Stéphane TV,Jean-Michel Bernard,AR7CK3C1187FB477F8,"studio, vocal",4,0.286877,0.155112,0,0.46737,0.774204,0,1,0,12.8,-10.159,0,0
SOACESA13152A7506B,Shadow Song,Andrew Liles,ARRJR4V1187B9B9A8B,"studio, vocal",7,0.120619,0.364871,0,0.537657,0.670207,7.00E-05,1,0,70.09288,-23.051,0,0
SONNGUC12A58A77774,Interlude 2,Nice Device,AR101KK1187B99E53A,"studio, electric",8,0.112904,0.082118,0,0.123143,0.009232,0.744274,1,0,17.68444,-16.529,0,0
SOAIADO1313439164B,Erratum Musical,Marcel Duchamp,ARB1TUY1187B9A1A21,"acoustic, studio, vocal",3,0.015033,0.149351,0,0.123734,0.961954,0,1,0,99.93288,-22.292,0,0
SOSOLPD13E8BE62BDA,I.n.e.m.,Chivi,ARUMNPZ1241B9C8C01,"acoustic, studio, vocal",9,0.368478,0.658246,0,0.941934,0.964771,0,0,0,12.91864,-11.69,0,0
SOELYTF142AC4921CE,Cowbell Click Track - BPM 150,DrumTex,ARDPYJM13704F09754,"instrumental, studio, electric",3,0.85407,0.085221,0,0.106619,0.18369,0.97287,1,0,301.2268,-19.28,0,0
SOGFOGP13689FD1F42,You're Going To Fall,Violent Society,AR6HO641187B9911C2,"studio, electric",9,0.990295,0.103701,0,0.079543,0.02016,0.636447,0,0,315.45424,-5.287,0,0
SOZDDQN141B54177D9,Line The Halls,Daniel J. Anthony,AROCJQF1437DC735CA,"instrumental, studio, electric",9,0.685859,0.318778,0,0.09643,0.015554,0.977503,1,0,14.95501,-9.139,0,0
SOENBEW12A58A7AED0,Ashtray,Proclamation,ARCUEBH11F50C4BF42,"studio, electric",2,0.833179,0.146631,0,0.341087,0.000162,,1,1,4.12689,-26.533,0,0
SOMHADQ136A4035351,Afro Innay,Kafka,ARAILDL1187FB4DD13,studio,7,0.93922,0.149647,0,0.788623,0.534561,0.872065,1,4,92.682,-6.26,0,0
SOUREMI12A8C140DA6,Sheer Bliss,Stereoverve,ARL37791187B993F82,"instrumental, studio, electric",8,0.653569,0.069911,0,0.075383,0.00238,0.943728,1,1,13.26975,-4.354,0,0
SOMGXQL146C05F7E90,Franz Schubert - La belle meunière : Le voyage,Jean Doyen,ARGOHXL1264D12B5DE,"studio, electric",9,0.041099,0.339131,69.352,,0.149057,0.796792,0,3,63.79955,-59.732,0.030485,0
SOJUQSP1374207B2E4,I Love Water,Voetsek,ARJAMPU1187B9AED1E,"studio, electric, vocal",9,0.9519,0.293708,0,0.155103,7.70E-05,0.190717,1,0,13.82621,-8.802,0,0
SODWBDX13DC1A3E903,Shinnig City,United Beatz,ARWCBTV12AF7D9C02A,"studio, electric",10,0.999911,0.041298,0,0.588431,0.110675,0.899946,0,0,9.37288,-9.771,0,0
SOTNGSF139431D64EF,Dark Moon Ritual,Funeral Throne,ARLGOXS136E570EE5F,"studio, electric, vocal",11,0.994928,0.307728,0,0.111154,2.00E-06,0.342202,0,0,14.99955,-5.051,0,0
SOIWMTN141BFCCE66A,Pack Ya Bags - (Radio version),Sarai,AREUS5S1187B99624C,"remix, studio, electric, vocal",7,0.465825,0.117928,0,0.277562,0.018217,0.084783,1,0,11.05224,-6.01,0,0
SOHISLQ12AF729DA69,"Match Over ""And The Winner Is...""",Magnificent Tracers,ARTEUIH11F4C847015,"acoustic, live",4,0.944372,0.907282,0,0.121077,0.985135,0.875509,1,0,20.55791,-10.027,0,0
SORFYLX12AF729DEDF,make the noise,Mossa,ARS68LC1187B9A3443,"studio, electric",11,0.452192,0.206952,0,0.654415,0.004147,0.872649,0,3,115.3824,-11.641,0,0
SOYUMES142673C91F2,Analog Pink Noise,Luxe Vivant Productions,ARGFHRJ12D5CD7D635,"studio, electric",10,0.001407,0.59884,0,0.07488,0.013215,0.622054,0,0,599.99955,-10.149,0,0
SOXAYRH12AF72A87B0,Lenny's A Drunk,Darkbuster,ARA902V1187B9A6DE4,"studio, vocal",4,0.709557,0.072528,0,0.233657,0.617215,0.001053,1,1,6.55628,-7.249,0,0
SOKPSPI12AC9E1275F,Lenny's A Drunk,Darkbuster,ARA902V1187B9A6DE4,studio,1,0.325748,0.054858,0,0.122336,0.753795,0.99955,0,0,6.52435,-7.586,0,0
SOUECGP12AB017E860,Control 5,Inkliing,ARLPEON123E29C1344,"instrumental, studio, electric",7,0.18115,0.07741,0,0.424089,0.008278,0.96424,0,0,234.81556,-6.994,0,0
SOHSWJF12DE6FCB9AC,Horror Weird Slap Whip Hit Whish Swish Whoop Lash Pan Slam Film Effect Move Strange Unbelievable Crazy Noise Rotate Movie Ominous Demonic Reverse Scrape,Epic Sound Effects,ARTLVXA12D5CD7D819,"acoustic, studio",10,0.008335,0.056513,0,0.055807,0.995626,,0,0,5.53751,-14.912,0,0
SOYDAEB134EE36AEC1,The Terrorists Win,Hummingbird Of Death,ARCBRGM12FE086852F,"studio, electric, vocal",2,0.995118,0.318743,0,0.095156,0.000268,0.002746,1,0,26.10667,-2.741,0,0
SODDAFU12AF72A14BC,Fish People,Christ on a Crutch,AR6H0JC1187FB39EA8,"acoustic, studio",10,0.003771,0.273363,0,0.234104,0.988147,,1,3,4.91057,-30.772,0,0
SOIXBPH1369213931A,09 - Spleen,Staind,AR3WLE91187B99430A,"studio, electric",10,2.00E-05,0.134451,0,0.09239,0.022536,0.588558,0,0,1261.50485,-7.166,0,0
SOJVOVO12DAA472AD4,Intro,Punches,ARYEJXH11F4C83C429,"acoustic, studio, vocal",9,0.263563,0.194406,162.653,0.045894,0.976627,0.026933,0,1,3.60444,-16.592,0.86097,0
SOXIERA12B3A1D4A04,Maiden of the Mountain Deep,Katharine Blake,ARJQ1GI1187B9B0A26,"studio, vocal",2,0.534946,0.148667,0,0.317401,0.852384,0.38928,1,1,2.63791,-23.984,0,0
SOVYBFJ141841A9BD0,Marguerite De Valois Et Henri De Navarre,Isabelle Adjani,AR7WZ1Y1187B99D10B,"studio, vocal",1,0.283707,0.294765,0,0.838868,0.885594,0,1,0,12.33556,-25.265,0,0
