Danceability,Valence,Energy
0.17317077,0.20089424,0.168767042349Ê
0.18808790,0.22941598,0.218926194714Ê
0.19183580,0.23630927,0.22605831443Ê
0.18628030,0.23456589,0.23422947222Ê
0.18345401,0.23520975,0.238606468235Ê
0.18468897,0.23822338,0.24095237411Ê
0.18569120,0.24094885,0.243477312451Ê
0.18500567,0.24151164,0.245332428651Ê
0.18380728,0.24158029,0.243458412565Ê
0.18393303,0.24296482,0.245177182273Ê
0.18474126,0.24323933,0.246310701818Ê
0.18572271,0.24288951,0.244245293416Ê
0.18602863,0.24424352,0.244824358477Ê
0.18515379,0.24482570,0.24501308404Ê
0.18404669,0.24456215,0.244820253379Ê
0.18414472,0.24570195,0.243731767287Ê
0.18445768,0.24827406,0.243577605753Ê
0.18492396,0.24918272,0.244130807133Ê
0.18529263,0.24965065,0.244016746749Ê
0.18584931,0.24962402,0.243435960613Ê
0.18538327,0.24990220,0.243577413062Ê
0.18546150,0.25022422,0.244203699624Ê
0.18551832,0.24970877,0.24537100935Ê
0.18575920,0.24912904,0.246073239407Ê
0.18596054,0.24954112,0.247033494649Ê
