Toraja],Peter Schnur ,,
Tip of My Fingers (Live)],Barbara Fairchild ,,
Secret Agent],Red Dons,,
He Bought My Soul at Calvary],Jo Stafford,,
Clisto],Thighpaulsandra ,,
the Right Defense],Ambisonic,,
Big Wide World],Teddy Randazzo,,
Falling in Love Again (feat. Michael Lutzeier)],Lee Shaw Trio,,
Red House],Whiskey,,
Time],Interference,,
Caught in the Wake],Hope & Social,,
Run],DUKATALON,,
Unkaany Valley],Birds of Avalon,,
Cast Out],Cross Stitched Eyes,,
Lies],Cause for Alarm,,
??ltima Volta],Ecos Falsos,,
Maybe],A.D.D.,,
Soldatslakt],S??tlimpa,,
Will],Out,,
Pseudo Existence,Pseudo Existors,,
What Comes Around Goes Around (Live)],Catch 22,,
Ocular],Aly,,
Maul],Kolossale Jugend,,
Shoot],Super Deluxe,,
People of Your Kind],Beat Mark,,
I Go Vertigo],Minus,,
Cold],Sudden Death,,
From Dust and Gravity],Monsterworks,,
From up Here],One Event Worship Team,,
Spiders Functions],Pigsty,,
A Bitter Pill],JDA,,
Illusional Dementia],Fractal Gates,,
Woman Beater (Unreleased Bonus Tracks)],The Unseen,,
SEVENTH HEAVEN],POLYSICS,,
Eaten by Rats],Blohole,,
Through the Unhindered Break of Day],Set and Setting,,
Scoundrel],Alva Leigh,,
Jesu` Joy of Man's Desiring],Tribe,,
El Rey de la Revolucion (En Vivo)],Three Souls in My Mind,,
Faber - Emptiness],Faber,,
Big Fuss],Antennas,,
Fever],Delacroix,,
Free Society],Overdrive,,
