#songId, title, artist_name, artist_id, song_type, key, energy, liveness, tempo, speechiness, acousticness, instrumentalness, mode, time_signature, duration, loudness, valence, danceability
SOZKTVG1373FFADEDF,Demons (Tom Piper Remix),South Central,AR1FS3L1187FB52B2E,"remix, studio, electric",6,0.654834,0.131464,130.028,0.035801,0.00516,0.476371,0,4,360.59955,-6.38,0.100314,0.759536
SODGLDC130516DDBBF,On Your Knees,Bradford,ARLZMQB1187B9A2042,"studio, electric, vocal",7,0.851786,0.16229,91.917,0.066792,0.02044,0,1,4,221.03955,-3.72,0.755425,0.574391
SOXOPMT13134383F1A,Orient,MHK,ARNQASJ11F4C8410A7,"studio, electric",7,0.577657,0.112997,120.034,0.043963,0.03048,0.830842,1,4,186.11955,-8.886,0.198396,0.902056
SOGUBFT1376D04DF72,Blaze the Trail,Detlev Schmidtchen,ARKADET1241B9CB9E8,"studio, electric",0,0.78529,0.387166,120.016,0.032472,3.20E-05,0.860815,1,4,274.80771,-6.254,0.635131,0.565082
SOZZQRO14722C158D0,On The Hill,N.Y&Bicycle,ARUPXON1414942B879,"studio, electric, vocal",9,0.551468,0.064596,91.669,0.043841,0.221313,1.00E-06,1,4,209.46621,-7.676,0.835241,0.652242
SOEQQRZ1449140E72E,Heart Attack,Riley Etheridge Jr.,ARUWHML12AF7D8FD42,"studio, electric, vocal",2,0.74656,0.056154,162.001,0.063752,0.006726,3.00E-06,1,4,206.38621,-6.912,0.521385,0.471875
SOZLUAN1393A9FD85F,"Classic (feat. Krs-One, Redman, Teknizzle & Hi-Def)",Mad Skill,AROLIMG122ECCBDBCB,"studio, electric, vocal",1,0.961386,0.190541,94.595,0.330121,0.067957,0.000204,1,4,324.18023,-3.744,0.607293,0.611798
SOOJPNT12AC468940C,Tristano Mambo,Mekanik Kantatik,ARRCCGR125FEF32A7A,studio,0,0.673435,0.122258,137.992,0.03611,0.768343,0.803856,0,4,284.01288,-11.468,0.964843,0.790181
SOOLWWM132C02A77F8,My All Is You,LSDA,ARWZKVF132940281AE,"studio, electric, vocal",9,0.723056,0.083118,128.028,0.039822,0.029647,0.0001,1,4,243.53288,-3.077,0.606076,0.713177
SODAEIC12A8C1389D8,Jesus Christ Emmanuel,Martyn Layzell,AROCSZ21187B9AF0EB,"studio, electric, vocal",7,0.612908,0.123991,82.999,0.025065,0.100848,0,1,4,237.62621,-6.833,0.208643,0.486604
SOTVPYK1307A7E7AF9,No Time No Space (feat. Tigerlily) (Lee Jones Remix),Gregorythme,ARQQNF21187FB4F4B7,"remix, studio, electric",11,0.509696,0.21839,124.002,0.060347,0.006615,0.440221,0,4,407.35955,-10.132,0.565731,0.859872
SOWTSJE131343878C6,Somewhere (Parkside Mix),Desert Road,ARFUMPC1241B9CE4A7,"instrumental, remix, studio, electric",5,0.534979,0.103375,128,0.034144,0.025829,0.916349,1,4,506.24957,-7.373,0.173997,0.707727
SOBOZRM1374DE8E0F4,BACK SPACE,Optokoppler,AR9I7IZ1187B9B0931,"studio, electric",7,0.979974,0.161348,144.019,0.068007,0.00044,0.740873,1,4,554.26621,-4.609,0.242686,0.524593
SOBHJCU12A58A7C6FB,Scott Walker's Fault,The Minus 5,ARX9XBA1187FB3976C,"studio, electric, vocal",2,0.727922,0.059553,175.312,0.031738,0.364725,0.00031,1,4,188.32,-6.697,0.326318,0.314735
SOEOQBY13D0D2BB798,Oteraj,Ella,ARW6XMI1187B9A37E8,"studio, electric, vocal",9,0.864109,0.062548,110.007,0.034897,0.089687,0,0,4,199.56354,-4.242,0.947047,0.860872
