Song 	Artist 	Genre 	Cluster
Sekunden	Swod	Electronic	C1
"Walk Into River"	"Mychael Danna"	Soundtrack	C1
"33 Fainting Spells"	"Orla Wren"	Electronic	C1
"I Have Dreamed"	"Lena Horne[Galvanize"	Rock	C1
Obsession-Compulsion	Sadist[Zigeunerweisen	Rock	C1
"September Song"	"Tony Bennett[Adios Nonino"	Jazz	C1
"Otello: Ave Maria"	"Renata Tebaldi"	Classical	C1
"September Song"	"Tony Bennett"	Jazz	C1
"Sooprize Package"	"Mean Things"	Alternative	C1
Gitanoss	Ararat	"New Age"	C1
"Otello': Ave Maria"	"Renata Tebaldi"	Classical	C1
"The Highest Point of Living"	"City of Ashes"	Rock	C1
"Let's Get Together"	"Little Trouble Kids"	Rock	C1
Love	"Gerard Kenny"	Pop	C1
"Christmas Dreaming"	"Dennis Day"	Vocal	C1
"Concerto no. 1 in E Major` Op. 8` RV 269` 'La primavera': II. largo"	Tarahumara	Classical	C1
"A Feather Is Re-Glued to the Flight"	Ginormous	Electronic	C1
"Theme From Schindler's List"	"Stadtmusikkapelle Landeck[gfd035"	Soundtrack	C1
"Collector of Remains"	"Brighter Death Now"	Rock	C1
"Crazy World (from 'Victor/Victoria')"	"Henry Mancini"	Soundtrack	C1
"Over the Sea to Sky"	"Eric Rigler"	Holiday	C1
Nacht	Dimitar Dodovski	Dance	C1
Handwriting (Part II)	Talvihorros	Electronic	C1
"Telegram` Pts. 1-3 (Live)]"	Nazareth	Rock	C2
Crown]	"Chimera Sound Healing"	"New Age"	C2
Revenge]	"Alleycat Scratch "	Rock	C2
Reverie]	"Dustin Gledhill "	"Christian & Gospel"	C2
Jim]	"Douglas Heart "	Alternative	C2
Lemonade]	"Moonlight Bride "	Alternative	C2
"Gas Can"	"Trance Farmers"	Alternative	C2
Friendship]	"Madrefoka  "	Jazz	C2
"Swahili Blonde Days]"	"Swahili Blonde"	Alternative	C2
"Ma m??re l'oye: V. Petit Poucet]"	"l'oye: V. Petit"		C2
"Morbius' Study]"	"Louis and Bebe Barron"	Soundtrack	C2
"Earl Grey]"	"Kaffeemusik "	"Easy Listening"	C2
"Six Studies in English Folk Song: I. Adagio (Lovely on the water)]"	"Royal Ballet Sinfonia"	Classical	C2
"A Fancy of Folksongs: III. The Crystal Spring]"	"Canterbury Chamber Choir"	Classical	C2
Aria]	"Mop Mop "	Electronic	C2
"Evening Forest Crickets]"	"Green Powered"	"New Age"	C2
Belief]	"Don Robertson "	"New Age"	C2
"Earth - Relationship` Marriage And Partnership]"	Technomind	"New Age"	C2
Din]	"Tod Dockstader "	Electronic	C2
"Good Night (Porzellan Remix)]"	Pleq	Dance	C2
Awakening]	"Neil H "	Podcasts	C2
"Kay's Theme]"	"David Julyan"	Soundtrack	C2
"Closing The Black Box]"	Wilt	"Hip Hop/Rap"	C2
"Moonlight Becomes You]"	"Billy May"	"Short Films"	C2
"Scattered` They Fly Across the Sill]"	Lattice	"New Age"	C2
"Violin Concerto No. 3 in B minor Op. 61: II. Andantino quasi allegretto]"	"Maxim Vengerov"	Classical	C2
Toraja]	"Peter Schnur "	Jazz	C3
"Tip of My Fingers (Live)]"	"Barbara Fairchild "	Country	C3
"Secret Agent]"	"Red Dons"	Alternative	C3
"He Bought My Soul at Calvary]"	"Jo Stafford"	Pop	C3
Clisto]	"Thighpaulsandra "	Alternative	C3
"the Right Defense]"	Ambisonic	Alternative	C3
"Big Wide World]"	"Teddy Randazzo"	Pop	C3
"Falling in Love Again (feat. Michael Lutzeier)]"	"Lee Shaw Trio"	Jazz	C3
"Red House]"	Whiskey	Pop	C3
Time]	"Interference"	Alternative	C3
"Caught in the Wake]"	"Hope & Social"	Alternative	C3
Run]	DUKATALON	Rock	C3
"Unkaany Valley]"	"Birds of Avalon"	Alternative	C3
"Cast Out]"	"Cross Stitched Eyes"	Alternative	C3
Lies]	"Cause for Alarm"	Alternative	C3
