#songId, title, artist_name, artist_id, song_type, key, energy, liveness, tempo, speechiness, acousticness, instrumentalness, mode, time_signature, duration, loudness, valence, danceability

SOJNMDQ144BD204420,"Bohemian Rhapsody",Queen,ARL4TII1187B9B46E1,"studio, electric, vocal",10,0.417446,0.21001,145.1,0.049761,0.252475,0,1,4,357.57333,-9.94,0.24644,0.385935
SOFGIIO1377464C4FD,"Don't Stop Me Now",Queen,ARL4TII1187B9B46E1,"live, electric, vocal",0,0.845814,0.687789,159.477,0.198862,0.055592,0.000377,1,4,268.17288,-11.768,0.286638,0.444934
SOVYUTM14601162380,"Don't Stop Me Now (2008 Digital Remaster)",Queen,ARL4TII1187B9B46E1,"electric, vocal",5,0.881963,0.774877,156.716,0.247407,0.191456,0.002816,1,4,209.11955,-3.617,0.537357,0.56594
SOKBBOB144BD428A8E,"Another One Bites The Dust",Queen,ARL4TII1187B9B46E1,"live, electric, vocal",4,0.983406,0.981843,115.996,0.295136,0.125836,0.001748,0,4,358.93288,-5.059,0.118786,0.533458
SOHZVQY1454528C2E1,"Somebody To Love",Queen,ARL4TII1187B9B46E1,"studio, electric, vocal",8,0.695904,0.168849,112.75,0.055444,0.198482,1.0E-6,1,3,292.94821,-6.974,0.400592,0.497336
SOGKCWU144AF4AA995,"We Are The Champions",Queen,ARL4TII1187B9B46E1,"studio, vocal",10,0.494332,0.115602,63.636,0.04283,0.403973,0,1,4,184.09333,-6.997,0.166163,0.256761
SOQFQRJ135C4214AAB,"Stayin' Alive","Bee Gees",AR6LKUT1187FB57287,"studio, electric, vocal",10,0.903693,0.291506,103.68,0.041462,0.076566,0.000206,0,4,285.19955,-6.142,0.901676,0.671671
SOMKIFV137327D5B96,"STAYIN' ALIVE (Single)","Bee Gees",AR6LKUT1187FB57287,"studio, electric, vocal",0,0.512246,0.1391,207.48,0.053795,0.218596,0.259061,0,4,221.83138,-17.181,0.927753,0.53952
SOLAGIZ13A18D26E97,"You Should Be Dancing","Bee Gees",AR6LKUT1187FB57287,"studio, electric",0,0.484658,0.30683,122.996,0.038512,0.014771,0.625061,1,4,284.62975,-18.949,0.960701,0.671181
SOSHVUG136ED773438,"How Deep Is Your Love","Bee Gees",AR6LKUT1187FB57287,"studio, electric, vocal",5,0.356305,0.311167,105.49,0.026066,0.109906,2.0E-6,0,4,242.41587,-9.521,0.682026,0.634986
SOTCTUB13665DA247E,Tragedy,"Bee Gees",AR6LKUT1187FB57287,"studio, electric, vocal",11,0.566767,0.36389,118.411,0.026569,0.049869,0.050566,0,4,303.69914,-7.852,0.811093,0.68433
SOAXNQB12C0DD054D9,"NIGHT FEVER","Bee Gees",AR6LKUT1187FB57287,"studio, electric, vocal",11,0.802073,0.064291,109.184,0.026935,0.012568,0.00027,1,4,209.47546,-7.29,0.828857,0.689511
SOAJXAT12A6D4F8402,"Life On Mars?","David Bowie",ARJA1841187FB3A029,"studio, vocal",10,0.590535,0.171316,121.394,0.036372,0.529232,1.3E-5,1,4,223.42921,-7.858,0.360818,0.441995
SOGPUUQ13775440FC3,Heroes,"David Bowie",ARJA1841187FB3A029,"studio, electric, vocal",7,0.901013,0.308555,112.697,0.031402,0.042546,0.140773,1,4,366.38676,-2.974,0.567024,0.492605
SOJXHBC14624428F29,"Heroes (Single Version) (2002 Digital Remaster)","David Bowie",ARJA1841187FB3A029,"studio, electric, vocal",7,0.766164,0.298167,112.614,0.030326,0.046809,0.297131,1,4,216.93288,-8.32,0.556063,0.500962
SOJSGVE136F1C57E9B,"Heroes (1999 Digital Remaster)","David Bowie",ARJA1841187FB3A029,"studio, electric",7,0.767506,0.18478,112.599,0.029233,0.000257,0.615153,1,4,370.37379,-7.008,0.42754,0.47768
SOIFWNR1498F09FA18,"""Heroes"" (Single Version) [2014 Remastered Version]","David Bowie",ARJA1841187FB3A029,"studio, electric, vocal",7,0.714177,0.16659,112.125,0.027389,0.015744,0.178024,1,4,213.81288,-7.769,0.574621,0.500873
SOCGEQX1366639B591,"Let's Dance","David Bowie",ARJA1841187FB3A029,"studio, electric",10,0.800371,0.238039,115.067,0.064021,0.00129,0.422374,0,4,456.01624,-5.283,0.6065,0.626684
SOAVZYY144BB7E360D,"Let's Dance (Single Version) (2002 Digital Remaster)","David Bowie",ARJA1841187FB3A029,"studio, electric, vocal",10,0.703236,0.136459,114.742,0.045889,0.006354,0.014859,0,4,245.43882,-7.698,0.779883,0.652526
SOUNXRM143861EF775,"Let's Dance (1999 Digital Remaster)","David Bowie",ARJA1841187FB3A029,"studio, electric, vocal",8,0.724886,0.171517,114.41,0.041096,0.011005,0.00214,1,4,216.11202,-8.36,0.798521,0.657656
SOASYED1366D89E89F,"Wish You Were Here","Pink Floyd",ARD4C1I1187FB4B0C3,"studio, vocal",7,0.314852,0.378465,120.791,0.049695,0.73924,0.001705,1,4,321.07955,-13.827,0.280438,0.502663
SOJXHQZ1366D89E0D1,"Wish You Were Here (2011 - Remaster)","Pink Floyd",ARD4C1I1187FB4B0C3,"studio, vocal",7,0.274179,0.295245,120.942,0.044937,0.721213,0.001361,1,4,305.50685,-15.679,0.318011,0.498256
SOPYIPV134EDB03D82,"Wish You Were Here (feat. Stéphane Grapelli)","Pink Floyd",ARD4C1I1187FB4B0C3,"studio, vocal",2,0.310767,0.126433,119.114,0.034331,0.515237,0.007985,1,4,371.39946,-12.907,0.167462,0.460039
SOLFLCI1313439C71B,"Comfortably Numb","Pink Floyd",ARD4C1I1187FB4B0C3,"live, electric, vocal",11,0.496176,0.932736,136.235,0.046748,0.00163,0.000482,0,4,536.89134,-16.413,0.276894,0.247285
SODDBCI12B0B80B8F2,"Comfortably Numb (2011 - Remaster)","Pink Floyd",ARD4C1I1187FB4B0C3,"studio, electric, vocal",11,0.367705,0.086643,127.163,0.028636,0.161219,0.383212,0,4,382.29651,-12.645,0.174432,0.472053
SOTZTKQ135CC07BF25,"Comfortably Numb (2001 Digital Remaster)","Pink Floyd",ARD4C1I1187FB4B0C3,"studio, electric, vocal",11,0.461351,0.1977,126.981,0.03078,0.106136,0.136253,0,4,413.63955,-9.848,0.176014,0.469544
SOTCUUK135CC77E722,"Time (2011 - Remaster)","Pink Floyd",ARD4C1I1187FB4B0C3,"instrumental, studio",9,0.407092,0.112831,121.975,0.042377,0.813517,0.920572,1,3,280.13669,-13.155,0.321373,0.368464
SOZHTMS148A812EDD7,Time,"Pink Floyd",ARD4C1I1187FB4B0C3,studio,1,0.803627,0.616186,116.954,0.106809,0.864863,0.817583,0,4,316.6995,-6.778,0.193325,0.320859
SOTLMLG13D6F879E41,Money,"Pink Floyd",ARD4C1I1187FB4B0C3,"studio, electric, vocal",6,0.513372,0.330214,125.633,0.053371,0.017097,0.002573,0,1,398.99383,-9.732,0.459453,0.484909
SOPOZRQ144BDD5692E,"Money (2001 Remastered Version)","Pink Floyd",ARD4C1I1187FB4B0C3,"remix, studio, electric, vocal",11,0.528074,0.215989,125.793,0.059545,0.023202,0.000656,0,1,405.90621,-9.286,0.468157,0.48361
SOPYQBM12A58A76F2F,"Gimme Shelter","The Rolling Stones",ARFCUN31187B9AD578,"studio, electric, vocal",1,0.646185,0.152553,118.655,0.031115,0.498013,0.037202,0,4,270.74667,-8.249,0.454956,0.63195
SODKESJ144AD0F745F,"Paint It, Black","The Rolling Stones",ARFCUN31187B9AD578,"studio, electric, vocal",5,0.773938,0.334615,158.765,0.091139,0.05142,0.006069,0,4,204.30621,-9.947,0.576506,0.463979
SOLHHFQ1376F393D26,"Sympathy For The Devil","The Rolling Stones",ARFCUN31187B9AD578,"studio, vocal",9,0.67569,0.038455,114.116,0.279791,0.574337,1.0E-6,1,4,377.09333,-10.937,0.596376,0.56946
SODFHPG12B0B80B0A4,"Stairway To Heaven","Led Zeppelin",ARDIBRT1187B9AF176,"studio, vocal",9,0.339565,0.116498,82.433,0.033896,0.580314,0.003203,0,4,482.83011,-12.049,0.205086,0.338102
SONVFWH144F4FE47F3,"Immigrant Song","Led Zeppelin",ARDIBRT1187B9AF176,electric,11,0.948807,0.754632,114.611,0.08439,0.000809,0.55337,1,4,221.63955,-6.222,0.199798,0.32179
SOORPIG1312A8AC05A,"Rock And Roll","Led Zeppelin",ARDIBRT1187B9AF176,"studio, electric, vocal",9,0.887032,0.089141,169.613,0.03749,0.000582,0.002578,1,4,220.5605,-7.292,0.868422,0.316689
SOONILN1374C67AAC5,"ROCK AND ROLL (Album Version)","Led Zeppelin",ARDIBRT1187B9AF176,"studio, electric",2,0.495927,0.212928,170.317,0.026198,0.003798,0.878845,1,4,220.94322,-17.316,0.891339,0.327445
SOFNDXL144FBBEB346,"Black Dog","Led Zeppelin",ARDIBRT1187B9AF176,"live, electric, vocal",2,0.882381,0.923422,81.469,0.107114,0.006573,0.073909,1,4,340.45288,-8.287,0.506848,0.255258
